,name,url,intensity,price,description_scraped,label
0,Mild Coffee 120 Capsule Assortment,https://www.nespresso.com//uk/en/order/capsules/vertuo/vertuo-mild-coffee-pack,0,73.3,,
1,Decaf and Half Caff 90 Capsule Assortment,https://www.nespresso.com//uk/en/order/capsules/vertuo/vertuo-decaf-and-half-caff-pack,0,50.5,,
2,Summer Iced 120 Capsule Assortment,https://www.nespresso.com//uk/en/order/capsules/vertuo/vertuo-summer-iced-assortment,0,74.2,,
3,Single Origin Pack,https://www.nespresso.com//uk/en/order/capsules/vertuo/vertuo-single-origin-pack,0,63.5,,
4,Wellness Boost Pack,https://www.nespresso.com//uk/en/order/capsules/vertuo/wellness-boost-pack,0,59.4,,
5,MONTHLY FAVOURITES LONG CUP 120 ASSORTMENT,https://www.nespresso.com//uk/en/order/capsules/vertuo/monthly-favourites-long-cup-120-assortment,0,80.4,,
6,Exotic Liminha Over Ice,https://www.nespresso.com//uk/en/order/capsules/vertuo/exotic-liminha-over-ice-coffee-pod,0,0.58,"Very refreshing coffee with mint and citrusy lime notes that linger in the aftertaste, low acidity and light body.",
7,Tropical Coconut Over Ice,https://www.nespresso.com//uk/en/order/capsules/vertuo/tropical-coconut-ice-vertuo-coffee-pods,0,0.69,"The coconut flavour enhances the caramel notes of a smooth, rounded, and delicately aromatic Arabica blend.",
8,Ice Forte,https://www.nespresso.com//uk/en/order/capsules/vertuo/ice-forte-coffee-pods,0,0.67,"Barista Creations Ice Forte carries that distinct roasted character that’ll truly awaken the senses. Cereal, woody and peppery notes lace through the cup to deliver a rich iced coffee experience.",
9,Ice Leggero,https://www.nespresso.com//uk/en/order/capsules/vertuo/ice-leggero-coffee-pods,0,0.56,Chill out with this refreshing iced coffee experience’s light and thirst-quenching fruitiness dancing on a rounded cereal note.,
10,Cafecito de Puerto Rico,https://www.nespresso.com//uk/en/order/capsules/vertuo/puerto-rico-vertuo-coffee-pods,10,1.1,"Reviving Origins Puerto Rico is an intense and creamy Double Espresso. The delicious notes of dark cocoa, pepper and brown spice all point to the comeback power of Puerto Rican coffee.",
11,AMAHA awe UGANDA ,https://www.nespresso.com//uk/en/order/capsules/vertuo/reviving-origins-amaha-awe-uganda-vertuo,6,0.82,In Uganda sustainable practices enables farmers to deliver a rich espresso with a wild character that carries both hard-to-find sandalwood notes and elegant florals.,
12,Café de Cuba,https://www.nespresso.com//uk/en/order/capsules/vertuo/cafe-de-cuba-vertuo-coffee-pods,8,1.5,"Cafe de Cuba from Nespresso- an intense cup, made purely of Cuban Arabica coffee. It is more than a coffee, it is a journey to Cuba. ",
